service_request_id,service_request_parent_id,sap_notification_number,date_requested,case_age_days,case_record_type,service_name,service_name_detail,date_closed,status,lat,lng,street_address,zipcode,council_district,comm_plan_code,comm_plan_name,park_name,case_origin,referred,iamfloc,floc,public_description,file_year_split
2551100,,40300119318.0,2019-03-31T15:37:00,1270,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.7458093,-117.19991090000002,"2330 Midway Dr, San Diego, CA 92110, USA",92110.0,2.0,14.0,Midway-Pacific Highway,,Web,,PL-343675,SX-011090-004,"Midway,  Barnett to Rosecrans,  17 Lights out  north side of street,   12 Lights out   south side of street.",
2561588,,40300122679.0,2019-04-11T17:15:00,1259,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.7502448,-117.2063819,"3026 Midway Dr, San Diego, CA 92110, USA",92110.0,2.0,14.0,Midway-Pacific Highway,,Web,,PL-318363,SS-018261-003,"Along MIDWAY DRIVE  from Rosecrans to Sea World Dr,  32 Lights Out, North Side of street,  30 Lights Out, South Side of street.",
2575625,,40300127569.0,2019-04-27T03:25:00,1243,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.749904,-117.207114,"3005 Midway Dr, San Diego, CA 92110, USA",92110.0,2.0,14.0,Midway-Pacific Highway,,Mobile,,PL-318362,SS-018261-002,,
2591119,,40300131646.0,2019-05-14T04:27:00,1226,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.747025,-117.201879,"2731 Midway Dr, San Diego, CA 92110, USA",92110.0,2.0,14.0,Midway-Pacific Highway,,Mobile,,PL-318401,SS-018266-019,All street lights are off during the night all along Midway Dr,
2615980,,40300137119.0,2019-06-07T17:14:00,1202,Traffic Engineering,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.76138203230244,-117.23010582330932,"804 Sea World Dr, San Diego, CA 92109, USA",92109.0,2.0,17.0,Mission Bay Park,,Web,,PL-322884,SS-024637,Could we get the four lighting fixtures flanking the Sea World Drive bridge that passes over W. Mission Bay Drive renovated or replaced?  They are impressive but long neglected.  Thank you!,
2690063,,40300180862.0,2019-08-11T01:22:00,1137,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.7966953069277,-117.2545488272954,829 Garnet Ave,92109.0,2.0,27.0,Pacific Beach,,Mobile,,PL-313827,SS-011884-004,"Street light goes on and off throughout the night, every night.",
2691995,,40300181346.0,2019-08-12T15:13:00,1136,TSW,Street Light Maintenance,POLE KNOCK OVER/DAMAGE,,In Process,32.761484433273765,-117.24935833862304,"2694 Bayside Walk, San Diego, CA 92109, USA",92109.0,2.0,18.0,Mission Beach,,Web,,PL-322512,SS-024108-001,"Sheet metal boxes at the base of the sidewalk lights have deteriorated.  Fix seems to be square or round forms filled with concrete to cover the studs and nuts that secure the light.  There are two lights at this location and several others up and down the sidewalk,  Many have already been treated with the concrete fix.",
2696967,,40300182664.0,2019-08-15T21:17:00,1133,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.79765285554603,-117.2501065862526,1079 Garnet Ave,92109.0,2.0,27.0,Pacific Beach,,Mobile,,PL-313816,SS-011882-005,Light out,
2698317,,40300182854.0,2019-08-16T19:36:00,1132,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.71740102013267,-117.1663046634895,1143 State St,92101.0,3.0,4.0,Downtown,,Mobile,,PL-323625,SS-025580-003,Street lamp/ ballast knocked off. Not sure how this can even happen but ya may need entire light pole replaced,
2699202,,40300182947.0,2019-08-17T20:30:00,1131,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.71722412109375,-117.1665399336416,1144 State St,92101.0,3.0,4.0,Downtown,,Mobile,,PL-323624,SS-025580-002,,
2702271,,40300183337.0,2019-08-20T10:42:00,1128,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.8063239,-117.258151,"5061 Mission Blvd, San Diego, CA 92109, USA",92109.0,2.0,27.0,Pacific Beach,,Web,,PL-337730,SX-006304-001,"This is the 4th time i have sent this in. The entire Mission BLVD from Loring Street to Tourquoise St Street lights are out. They were replaced months ago but have NEVER worked. It is extremely dangerous to drive, walk, or park after dusk withouth ANY street lights. THE ENTIRE BLOCK IS OUT.",
2708931,,40300184940.0,2019-08-25T20:09:00,1123,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.80680251600864,-117.2587536146309,783 Tourmaline St,92109.0,2.0,27.0,Pacific Beach,,Mobile,,PL-337650,SX-006223-002,Lights always out,
2710323,,40300185138.0,2019-08-27T03:25:00,1121,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.70719301478282,-117.1518830691639,"L ST & 14TH ST,, 92101",92101.0,3.0,4.0,Downtown,,Mobile,,PL-348145,SX-014560-004,,
2723291,,40300188779.0,2019-09-06T11:49:00,1111,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.74266439467111,-117.22325341950688,"2552 CHATSWORTH BL, 92106",92106.0,2.0,30.0,Peninsula,,Phone,,PL-344036,SX-011450-002,STREET LIGHT HAS BEEN OUT FOR 3 MONTHS.,
2729740,,40300190302.0,2019-09-11T19:57:00,1106,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.84363151411786,-117.2736902517516,7714 Girard Ave,92037.0,1.0,10.0,La Jolla,,Mobile,,PL-335206,SX-004082-002,light out on corner of kline and girard on corner of bank of America building,
2729986,,40300190391.0,2019-09-12T08:12:00,1105,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.77490234375,-117.2352893110558,2972?3198 Ingraham St,92109.0,2.0,17.0,Mission Bay Park,MISSION BAY PARK,Mobile,,PL-340286,SX-008537-004,Lights out at Ingraham and Riviera Drive and Ingraham and Vacation Drive,
2749997,2708931.0,,2019-09-30T16:10:00,1087,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.8068873,-117.2586374,"Mission Blvd & Tourmaline St, San Diego, CA 92109, USA",92109.0,2.0,27.0,Pacific Beach,,Web,,,,mission and tourmaline on the right side heading north.,
2751446,,40300199411.0,2019-10-01T19:42:00,1086,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.7168249,-117.1529775,"1247 C St, San Diego, CA 92101, USA",92101.0,3.0,4.0,Downtown,,Web,,PL-308837,SS-005227-003,Light is out at corner of C and 13th.,
2755378,,40300200381.0,2019-10-05T23:54:00,1082,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.779506,-117.134079,"9050 Friars Rd, San Diego, Ca 92108, Usa",92108.0,7.0,19.0,Mission Valley,,Mobile,,PL-313453,SS-011506-002,All lights out on north and south side of Friars,
2757571,,40300201926.0,2019-10-08T11:21:00,1079,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.7484302,-117.16245779999996,"308 University Ave, San Diego, CA 92103, USA",92103.0,3.0,42.0,Uptown,,Web,,PL-343202,SX-010698-002,308 university ave san diego 92103,
2757788,,40300202449.0,2019-10-08T13:20:00,1079,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.757946424306795,-117.21384687307786,"HANCOCK ST & KURTZ ST,, 92110",92110.0,2.0,14.0,Midway-Pacific Highway,,Phone,,PL-341655,SX-009639-002,"Hello, Per citizen Richard woods, street lights  are all out. Complete darkness on Hancock Street & Kurtz. Citizen mentions an accident took place on Sunday due to the dark streets. Also, the traffic light timing is off. His number is (619) 306-4369.Thank you, Nadia PerezPublic Works Department(619) 533-4207",
2758960,,40300202580.0,2019-10-09T13:31:00,1078,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.777862064608726,-117.1390055199149,Friars Rd,92108.0,7.0,19.0,Mission Valley,,Mobile,,PL-313398,SS-011492-001,"Many lights out along Friars Rd, west of 805 overpass.",
2759567,,40300202703.0,2019-10-10T07:18:00,1077,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.792262099999995,-117.2383656,"3985 Ingraham St, San Diego, CA 92109, USA",92109.0,2.0,27.0,Pacific Beach,,Web,,PL-339217,SX-007519-002,"Street light out directly across from 3985 Ingraham St. Please do not close this ticket, I already created one (#02744274)  but you guys closed it saying its not a problem. The light IS out, all night and has been for over two weeks now.",
2765685,2699202.0,,2019-10-16T04:33:00,1071,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.71733490287579,-117.1665460524309,1144 State St,92101.0,3.0,4.0,Downtown,,Mobile,,PL-323626,SS-025580-004,,
2766646,,40300205433.0,2019-10-16T18:01:00,1071,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.86426166666666,-117.2527383333333,8599 La Jolla Shores Dr,92093.0,1.0,10.0,La Jolla,,Mobile,,PL-316718,SS-015619-001,"Light has been out for a very long time, it's in between La Jolla Shores and Ruette Monte Carlo streets.",
2767147,,40300205502.0,2019-10-17T09:43:00,1070,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.80820373079636,-117.2590657928015,5180?5182 Mission Blvd,92109.0,2.0,27.0,Pacific Beach,,Mobile,,PL-337456,SX-006056-005,Most street lights are not conning on at night. It is very dark at night in the area.,
2767565,,40300205629.0,2019-10-17T14:27:00,1070,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.84168767008429,-117.2727413196286,"7569 Girard Ave, La Jolla, CA 92037, USA",92037.0,1.0,10.0,La Jolla,,Web,,PL-335246,SX-004119-002,Street light out in front of 7569 Girard ave.  image attached,
2767784,,40300205741.0,2019-10-17T16:36:00,1070,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.90964071387793,-117.15914553706205,"Mira Mesa Bl & Dabney Dr, San Diego, CA 92126, USA",92126.0,6.0,15.0,Mira Mesa,,Web,,PL-318500,SS-018376-004,Street lights in center median of Mira Mesa from Parkdale Ave to Aderman Ave are all out.,
2771374,,40300206313.0,2019-10-21T17:37:00,1066,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.71938327367572,-117.15158570494076,"1384 Russ Blvd, San Diego, CA 92101, USA",92101.0,3.0,4.0,Downtown,,Web,,PL-322332,SS-023823-005,Two street lights in the picture are out.  They are both next to each other.,
2771482,,40300206320.0,2019-10-21T19:48:00,1066,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.71982212661791,-117.13404922589238,"28TH ST & ASH ST,, 92102",92102.0,3.0,1.0,Balboa Park,BALBOA PARK,Phone,,PL-305438,SS-000592-002,3 LIGHTS OUT ON 28TH BETWEEN ASH AND B,
2772772,,40300206529.0,2019-10-23T00:30:00,1065,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.910082978069354,-117.1572165520235,7712?7726 Mira Mesa Blvd,92126.0,6.0,15.0,Mira Mesa,,Mobile,,PL-318495,SS-018375-003,"Center divider street lights are all out, makes for scary walking along the street at night.",
2773983,,40300206972.0,2019-10-23T20:21:00,1064,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.74172133387323,-117.1195558019946,3447 Nile St,92104.0,3.0,28.0,North Park,,Mobile,,PL-319543,SS-019914-001,Light at Nile and Myrtle is out,
2774005,,40300206929.0,2019-10-23T21:00:00,1064,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.90023383798175,-117.1889129301234,MIRA MESA & PACIFIC HEIGHTS,92121.0,6.0,15.0,Mira Mesa,,Mobile,,PL-318530,SS-018385-009,Light out,
2774007,,40300206968.0,2019-10-23T21:03:00,1064,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.90928528212613,-117.1613930384488,7618?7624 Mira Mesa Blvd,92126.0,6.0,15.0,Mira Mesa,,Mobile,,PL-318497,SS-018376-001,Multiple lights out in center divider,
2774025,,40300206958.0,2019-10-23T21:26:00,1064,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.755325,-117.21998,"3516 Sports Arena Blvd, San Diego, Ca 92110, Usa",92110.0,2.0,14.0,Midway-Pacific Highway,,Mobile,,PL-341944,SX-009857-001,Light out,
2774225,2759567.0,,2019-10-24T08:34:00,1063,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.792262099999995,-117.2383656,"3985 Ingraham St, San Diego, CA 92109, USA",92109.0,2.0,27.0,Pacific Beach,,Web,,,,Street light burned out directly across from 3985 Ingraham St.,
2775270,,40300207208.0,2019-10-25T06:11:00,1062,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.909069,-117.161827,"Mira Mesa Bl & Aderman Av, San Diego, Ca 92126, Usa",92126.0,6.0,15.0,Mira Mesa,,Mobile,,PL-333620,SX-002918-004,"There have been multiple lights out on Mira Mesa Blvd between Aderman Ave and Dabney Drive. I attached a photo. My camera made it seem like it was lighter out, but it actually was really dark. As you can see from the photo though the lights are out.",
2777382,,40300207593.0,2019-10-27T21:35:00,1060,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.909123170976194,-117.1716761470844,Camino Santa Fe,92121.0,6.0,15.0,Mira Mesa,,Mobile,,PL-309483,SS-005914-001,West side of street next to sidewalk leading into LA Fitness parking lot.,
2777480,,40300207618.0,2019-10-28T07:45:00,1059,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.741825,-117.11928999999998,"3445 Nile St, San Diego, CA 92104, USA",92104.0,3.0,28.0,North Park,,Web,,PL-319229,SS-019577-001,"The light has been out over a month. It is at a very busy corner in North Park. It is a very dark corner , I live on the corner and feel very unsafe with it out. With Halloween coming it is a hazard not having it on. We have many kids out on Halloween. This area is tons of kids out then. Please, do something before Halloween as this is a danger at this corner. The corner is at Nile and Myrtle.",
2778736,,40300207921.0,2019-10-29T06:24:00,1058,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.74336448407988,-117.1300752182651,3583 30th St,92104.0,3.0,28.0,North Park,,Mobile,,PL-305555,SS-000662-002,Cobra light not working,
2779552,2759567.0,,2019-10-29T15:56:00,1058,TSW,Street Light Maintenance,STREET LIGHT OUT,,In Process,32.792262099999995,-117.2383656,"3985 Ingraham St, San Diego, CA 92109, USA",92109.0,2.0,27.0,Pacific Beach,,Web,,PL-339217,SX-007519-002,"Street light out directly across from 3985 Ingraham St. 92109. Please fix it, Ive been submitting reports for about 2 months now.",
